Unnamed: 0,pickup_time,region,count
3678,2016-06-01 01:00:00,1179,126.0
3679,2016-06-01 01:00:00,1180,104.0
3680,2016-06-01 01:00:00,1181,150.0
3681,2016-06-01 01:00:00,1182,138.0
3682,2016-06-01 01:00:00,1183,21.0
3683,2016-06-01 01:00:00,1184,1.0
3720,2016-06-01 01:00:00,1221,4.0
3721,2016-06-01 01:00:00,1222,7.0
3722,2016-06-01 01:00:00,1223,11.0
3723,2016-06-01 01:00:00,1224,12.0
3724,2016-06-01 01:00:00,1225,1.0
3726,2016-06-01 01:00:00,1227,115.0
3727,2016-06-01 01:00:00,1228,185.0
3728,2016-06-01 01:00:00,1229,149.0
3729,2016-06-01 01:00:00,1230,208.0
3730,2016-06-01 01:00:00,1231,211.0
3731,2016-06-01 01:00:00,1232,351.0
3732,2016-06-01 01:00:00,1233,111.0
3733,2016-06-01 01:00:00,1234,64.0
3734,2016-06-01 01:00:00,1235,20.0
3771,2016-06-01 01:00:00,1272,4.0
3772,2016-06-01 01:00:00,1273,8.0
3773,2016-06-01 01:00:00,1274,2.0
3777,2016-06-01 01:00:00,1278,3.0
3778,2016-06-01 01:00:00,1279,3.0
3779,2016-06-01 01:00:00,1280,44.0
3780,2016-06-01 01:00:00,1281,175.0
3781,2016-06-01 01:00:00,1282,239.0
3782,2016-06-01 01:00:00,1283,14.0
3783,2016-06-01 01:00:00,1284,12.0
3784,2016-06-01 01:00:00,1285,42.0
3785,2016-06-01 01:00:00,1286,48.0
3786,2016-06-01 01:00:00,1287,14.0
3825,2016-06-01 01:00:00,1326,24.0
3826,2016-06-01 01:00:00,1327,19.0
3830,2016-06-01 01:00:00,1331,4.0
3831,2016-06-01 01:00:00,1332,58.0
3832,2016-06-01 01:00:00,1333,57.0
3833,2016-06-01 01:00:00,1334,44.0
3834,2016-06-01 01:00:00,1335,6.0
3835,2016-06-01 01:00:00,1336,8.0
3836,2016-06-01 01:00:00,1337,27.0
3837,2016-06-01 01:00:00,1338,16.0
3838,2016-06-01 01:00:00,1339,1.0
3875,2016-06-01 01:00:00,1376,13.0
3876,2016-06-01 01:00:00,1377,8.0
3877,2016-06-01 01:00:00,1378,9.0
3879,2016-06-01 01:00:00,1380,7.0
3881,2016-06-01 01:00:00,1382,7.0
3882,2016-06-01 01:00:00,1383,25.0
3883,2016-06-01 01:00:00,1384,70.0
3884,2016-06-01 01:00:00,1385,22.0
3885,2016-06-01 01:00:00,1386,14.0
3886,2016-06-01 01:00:00,1387,18.0
3887,2016-06-01 01:00:00,1388,18.0
3888,2016-06-01 01:00:00,1389,7.0
3889,2016-06-01 01:00:00,1390,3.0
3925,2016-06-01 01:00:00,1426,7.0
3930,2016-06-01 01:00:00,1431,12.0
3933,2016-06-01 01:00:00,1434,2.0
3934,2016-06-01 01:00:00,1435,5.0
3935,2016-06-01 01:00:00,1436,22.0
3936,2016-06-01 01:00:00,1437,8.0
3937,2016-06-01 01:00:00,1438,5.0
3938,2016-06-01 01:00:00,1439,3.0
3940,2016-06-01 01:00:00,1441,8.0
3941,2016-06-01 01:00:00,1442,2.0
3979,2016-06-01 01:00:00,1480,6.0
3981,2016-06-01 01:00:00,1482,9.0
3982,2016-06-01 01:00:00,1483,4.0
4029,2016-06-01 01:00:00,1530,3.0
4031,2016-06-01 01:00:00,1532,9.0
4032,2016-06-01 01:00:00,1533,8.0
4079,2016-06-01 01:00:00,1580,3.0
4129,2016-06-01 01:00:00,1630,5.0
4183,2016-06-01 01:00:00,1684,0.0
4232,2016-06-01 01:00:00,1733,0.0
4233,2016-06-01 01:00:00,1734,137.0
4282,2016-06-01 01:00:00,1783,1.0
4567,2016-06-01 01:00:00,2068,27.0
4568,2016-06-01 01:00:00,2069,16.0
4617,2016-06-01 01:00:00,2118,105.0
4618,2016-06-01 01:00:00,2119,4.0
4667,2016-06-01 01:00:00,2168,42.0
6074,2016-06-01 02:00:00,1075,5.0
6075,2016-06-01 02:00:00,1076,25.0
6076,2016-06-01 02:00:00,1077,4.0
6124,2016-06-01 02:00:00,1125,18.0
6125,2016-06-01 02:00:00,1126,25.0
6126,2016-06-01 02:00:00,1127,42.0
6127,2016-06-01 02:00:00,1128,74.0
6128,2016-06-01 02:00:00,1129,123.0
6129,2016-06-01 02:00:00,1130,245.0
6130,2016-06-01 02:00:00,1131,30.0
6131,2016-06-01 02:00:00,1132,7.0
6171,2016-06-01 02:00:00,1172,1.0
6172,2016-06-01 02:00:00,1173,6.0
6173,2016-06-01 02:00:00,1174,4.0
6174,2016-06-01 02:00:00,1175,0.0
6175,2016-06-01 02:00:00,1176,4.0
6176,2016-06-01 02:00:00,1177,120.0
6177,2016-06-01 02:00:00,1178,115.0
6178,2016-06-01 02:00:00,1179,90.0
